Xi,p(Xi),Кодовая комбинация,Nэi,p(xi)*Nэi
11111111,0.43046721,0,1,0.43046721
11111110,0.04782969,1000,4,0.19131876
11111101,0.04782969,1001,4,0.19131876
11111011,0.04782969,1010,4,0.19131876
11110111,0.04782969,11011,5,0.23914845
11101111,0.04782969,11100,5,0.23914845
11011111,0.04782969,11101,5,0.23914845
10111111,0.04782969,11110,5,0.23914845
01111111,0.04782969,11111,5,0.23914845
11111100,0.00531441,1011000,7,0.037200870000000004
11111010,0.00531441,1011001,7,0.037200870000000004
11111001,0.00531441,1011010,7,0.037200870000000004
11110110,0.00531441,10111111,8,0.04251528
11110101,0.00531441,11000000,8,0.04251528
11110011,0.00531441,11000001,8,0.04251528
11101110,0.00531441,11000010,8,0.04251528
11101101,0.00531441,11000011,8,0.04251528
11101011,0.00531441,11000100,8,0.04251528
11100111,0.00531441,11000101,8,0.04251528
11011110,0.00531441,11000110,8,0.04251528
11011101,0.00531441,11000111,8,0.04251528
11011011,0.00531441,11001000,8,0.04251528
11010111,0.00531441,11001001,8,0.04251528
11001111,0.00531441,11001010,8,0.04251528
10111110,0.00531441,11001011,8,0.04251528
10111101,0.00531441,11001100,8,0.04251528
10111011,0.00531441,11001101,8,0.04251528
10110111,0.00531441,11001110,8,0.04251528
10101111,0.00531441,11001111,8,0.04251528
10011111,0.00531441,11010000,8,0.04251528
01111110,0.00531441,11010001,8,0.04251528
01111101,0.00531441,11010010,8,0.04251528
01111011,0.00531441,11010011,8,0.04251528
01110111,0.00531441,11010100,8,0.04251528
01101111,0.00531441,11010101,8,0.04251528
01011111,0.00531441,11010110,8,0.04251528
00111111,0.00531441,11010111,8,0.04251528
11111000,0.00059049,1011011000,10,0.0059049
11110100,0.00059049,1011011001,10,0.0059049
11110010,0.00059049,1011011010,10,0.0059049
11110001,0.00059049,1011011011,10,0.0059049
11101100,0.00059049,1011011100,10,0.0059049
11101010,0.00059049,1011011101,10,0.0059049
11101001,0.00059049,10111000110,11,0.00649539
11100110,0.00059049,10111000111,11,0.00649539
11100101,0.00059049,10111001000,11,0.00649539
11100011,0.00059049,10111001001,11,0.00649539
11011100,0.00059049,10111001010,11,0.00649539
11011010,0.00059049,10111001011,11,0.00649539
11011001,0.00059049,10111001100,11,0.00649539
11010110,0.00059049,10111001101,11,0.00649539
11010101,0.00059049,10111001110,11,0.00649539
11010011,0.00059049,10111001111,11,0.00649539
11001110,0.00059049,10111010000,11,0.00649539
11001101,0.00059049,10111010001,11,0.00649539
11001011,0.00059049,10111010010,11,0.00649539
11000111,0.00059049,10111010011,11,0.00649539
10111100,0.00059049,10111010100,11,0.00649539
10111010,0.00059049,10111010101,11,0.00649539
10111001,0.00059049,10111010110,11,0.00649539
10110110,0.00059049,10111010111,11,0.00649539
10110101,0.00059049,10111011000,11,0.00649539
10110011,0.00059049,10111011001,11,0.00649539
10101110,0.00059049,10111011010,11,0.00649539
10101101,0.00059049,10111011011,11,0.00649539
10101011,0.00059049,10111011100,11,0.00649539
10100111,0.00059049,10111011101,11,0.00649539
10011110,0.00059049,10111011110,11,0.00649539
10011101,0.00059049,10111011111,11,0.00649539
10011011,0.00059049,10111100000,11,0.00649539
10010111,0.00059049,10111100001,11,0.00649539
10001111,0.00059049,10111100010,11,0.00649539
01111100,0.00059049,10111100011,11,0.00649539
01111010,0.00059049,10111100100,11,0.00649539
01111001,0.00059049,10111100101,11,0.00649539
01110110,0.00059049,10111100110,11,0.00649539
01110101,0.00059049,10111100111,11,0.00649539
01110011,0.00059049,10111101000,11,0.00649539
01101110,0.00059049,10111101001,11,0.00649539
01101101,0.00059049,10111101010,11,0.00649539
01101011,0.00059049,10111101011,11,0.00649539
01100111,0.00059049,10111101100,11,0.00649539
01011110,0.00059049,10111101101,11,0.00649539
01011101,0.00059049,10111101110,11,0.00649539
01011011,0.00059049,10111101111,11,0.00649539
01010111,0.00059049,10111110000,11,0.00649539
01001111,0.00059049,10111110001,11,0.00649539
00111110,0.00059049,10111110010,11,0.00649539
00111101,0.00059049,10111110011,11,0.00649539
00111011,0.00059049,10111110100,11,0.00649539
00110111,0.00059049,10111110101,11,0.00649539
00101111,0.00059049,10111110110,11,0.00649539
00011111,0.00059049,10111110111,11,0.00649539
11110000,6.561e-05,1011011110000,13,0.00085293
11101000,6.561e-05,1011011110001,13,0.00085293
11100100,6.561e-05,10110111101100,14,0.00091854
11100010,6.561e-05,10110111101101,14,0.00091854
11100001,6.561e-05,10110111101110,14,0.00091854
11011000,6.561e-05,10110111101111,14,0.00091854
11010100,6.561e-05,10110111110000,14,0.00091854
11010010,6.561e-05,10110111110001,14,0.00091854
11010001,6.561e-05,10110111110010,14,0.00091854
11001100,6.561e-05,10110111110011,14,0.00091854
11001010,6.561e-05,10110111110100,14,0.00091854
11001001,6.561e-05,10110111110101,14,0.00091854
11000110,6.561e-05,10110111110110,14,0.00091854
11000101,6.561e-05,10110111110111,14,0.00091854
11000011,6.561e-05,10110111111000,14,0.00091854
10111000,6.561e-05,10110111111001,14,0.00091854
10110100,6.561e-05,10110111111010,14,0.00091854
10110010,6.561e-05,10110111111011,14,0.00091854
10110001,6.561e-05,10110111111100,14,0.00091854
10101100,6.561e-05,10110111111101,14,0.00091854
10101010,6.561e-05,10110111111110,14,0.00091854
10101001,6.561e-05,10110111111111,14,0.00091854
10100110,6.561e-05,10111000000000,14,0.00091854
10100101,6.561e-05,10111000000001,14,0.00091854
10100011,6.561e-05,10111000000010,14,0.00091854
10011100,6.561e-05,10111000000011,14,0.00091854
10011010,6.561e-05,10111000000100,14,0.00091854
10011001,6.561e-05,10111000000101,14,0.00091854
10010110,6.561e-05,10111000000110,14,0.00091854
10010101,6.561e-05,10111000000111,14,0.00091854
10010011,6.561e-05,10111000001000,14,0.00091854
10001110,6.561e-05,10111000001001,14,0.00091854
10001101,6.561e-05,10111000001010,14,0.00091854
10001011,6.561e-05,10111000001011,14,0.00091854
10000111,6.561e-05,10111000001100,14,0.00091854
01111000,6.561e-05,10111000001101,14,0.00091854
01110100,6.561e-05,10111000001110,14,0.00091854
01110010,6.561e-05,10111000001111,14,0.00091854
01110001,6.561e-05,10111000010000,14,0.00091854
01101100,6.561e-05,10111000010001,14,0.00091854
01101010,6.561e-05,10111000010010,14,0.00091854
01101001,6.561e-05,10111000010011,14,0.00091854
01100110,6.561e-05,10111000010100,14,0.00091854
01100101,6.561e-05,10111000010101,14,0.00091854
01100011,6.561e-05,10111000010110,14,0.00091854
01011100,6.561e-05,10111000010111,14,0.00091854
01011010,6.561e-05,10111000011000,14,0.00091854
01011001,6.561e-05,10111000011001,14,0.00091854
01010110,6.561e-05,10111000011010,14,0.00091854
01010101,6.561e-05,10111000011011,14,0.00091854
01010011,6.561e-05,10111000011100,14,0.00091854
01001110,6.561e-05,10111000011101,14,0.00091854
01001101,6.561e-05,10111000011110,14,0.00091854
01001011,6.561e-05,10111000011111,14,0.00091854
01000111,6.561e-05,10111000100000,14,0.00091854
00111100,6.561e-05,10111000100001,14,0.00091854
00111010,6.561e-05,10111000100010,14,0.00091854
00111001,6.561e-05,10111000100011,14,0.00091854
00110110,6.561e-05,10111000100100,14,0.00091854
00110101,6.561e-05,10111000100101,14,0.00091854
00110011,6.561e-05,10111000100110,14,0.00091854
00101110,6.561e-05,10111000100111,14,0.00091854
00101101,6.561e-05,10111000101000,14,0.00091854
00101011,6.561e-05,10111000101001,14,0.00091854
00100111,6.561e-05,10111000101010,14,0.00091854
00011110,6.561e-05,10111000101011,14,0.00091854
00011101,6.561e-05,10111000101100,14,0.00091854
00011011,6.561e-05,10111000101101,14,0.00091854
00010111,6.561e-05,10111000101110,14,0.00091854
00001111,6.561e-05,10111000101111,14,0.00091854
11100000,7.29e-06,1011011110010000,16,0.00011664
11010000,7.29e-06,1011011110010001,16,0.00011664
11001000,7.29e-06,1011011110010010,16,0.00011664
11000100,7.29e-06,1011011110010011,16,0.00011664
11000010,7.29e-06,10110111100101100,17,0.00012393
11000001,7.29e-06,10110111100101101,17,0.00012393
10110000,7.29e-06,10110111100101110,17,0.00012393
10101000,7.29e-06,10110111100101111,17,0.00012393
10100100,7.29e-06,10110111100110000,17,0.00012393
10100010,7.29e-06,10110111100110001,17,0.00012393
10100001,7.29e-06,10110111100110010,17,0.00012393
10011000,7.29e-06,10110111100110011,17,0.00012393
10010100,7.29e-06,10110111100110100,17,0.00012393
10010010,7.29e-06,10110111100110101,17,0.00012393
10010001,7.29e-06,10110111100110110,17,0.00012393
10001100,7.29e-06,10110111100110111,17,0.00012393
10001010,7.29e-06,10110111100111000,17,0.00012393
10001001,7.29e-06,10110111100111001,17,0.00012393
10000110,7.29e-06,10110111100111010,17,0.00012393
10000101,7.29e-06,10110111100111011,17,0.00012393
10000011,7.29e-06,10110111100111100,17,0.00012393
01110000,7.29e-06,10110111100111101,17,0.00012393
01101000,7.29e-06,10110111100111110,17,0.00012393
01100100,7.29e-06,10110111100111111,17,0.00012393
01100010,7.29e-06,10110111101000000,17,0.00012393
01100001,7.29e-06,10110111101000001,17,0.00012393
01011000,7.29e-06,10110111101000010,17,0.00012393
01010100,7.29e-06,10110111101000011,17,0.00012393
01010010,7.29e-06,10110111101000100,17,0.00012393
01010001,7.29e-06,10110111101000101,17,0.00012393
01001100,7.29e-06,10110111101000110,17,0.00012393
01001010,7.29e-06,10110111101000111,17,0.00012393
01001001,7.29e-06,10110111101001000,17,0.00012393
01000110,7.29e-06,10110111101001001,17,0.00012393
01000101,7.29e-06,10110111101001010,17,0.00012393
01000011,7.29e-06,10110111101001011,17,0.00012393
00111000,7.29e-06,10110111101001100,17,0.00012393
00110100,7.29e-06,10110111101001101,17,0.00012393
00110010,7.29e-06,10110111101001110,17,0.00012393
00110001,7.29e-06,10110111101001111,17,0.00012393
00101100,7.29e-06,10110111101010000,17,0.00012393
00101010,7.29e-06,10110111101010001,17,0.00012393
00101001,7.29e-06,10110111101010010,17,0.00012393
00100110,7.29e-06,10110111101010011,17,0.00012393
00100101,7.29e-06,10110111101010100,17,0.00012393
00100011,7.29e-06,10110111101010101,17,0.00012393
00011100,7.29e-06,10110111101010110,17,0.00012393
00011010,7.29e-06,10110111101010111,17,0.00012393
00011001,7.29e-06,10110111101011000,17,0.00012393
00010110,7.29e-06,10110111101011001,17,0.00012393
00010101,7.29e-06,10110111101011010,17,0.00012393
00010011,7.29e-06,10110111101011011,17,0.00012393
00001110,7.29e-06,10110111101011100,17,0.00012393
00001101,7.29e-06,10110111101011101,17,0.00012393
00001011,7.29e-06,10110111101011110,17,0.00012393
00000111,7.29e-06,10110111101011111,17,0.00012393
11000000,8.1e-07,1011011110010100000,19,1.539e-05
10100000,8.1e-07,1011011110010100001,19,1.539e-05
10010000,8.1e-07,1011011110010100010,19,1.539e-05
10001000,8.1e-07,10110111100101000111,20,1.62e-05
10000100,8.1e-07,10110111100101001000,20,1.62e-05
10000010,8.1e-07,10110111100101001001,20,1.62e-05
10000001,8.1e-07,10110111100101001010,20,1.62e-05
01100000,8.1e-07,10110111100101001011,20,1.62e-05
01010000,8.1e-07,10110111100101001100,20,1.62e-05
01001000,8.1e-07,10110111100101001101,20,1.62e-05
01000100,8.1e-07,10110111100101001110,20,1.62e-05
01000010,8.1e-07,10110111100101001111,20,1.62e-05
01000001,8.1e-07,10110111100101010000,20,1.62e-05
00110000,8.1e-07,10110111100101010001,20,1.62e-05
00101000,8.1e-07,10110111100101010010,20,1.62e-05
00100100,8.1e-07,10110111100101010011,20,1.62e-05
00100010,8.1e-07,10110111100101010100,20,1.62e-05
00100001,8.1e-07,10110111100101010101,20,1.62e-05
00011000,8.1e-07,10110111100101010110,20,1.62e-05
00010100,8.1e-07,10110111100101010111,20,1.62e-05
00010010,8.1e-07,10110111100101011000,20,1.62e-05
00010001,8.1e-07,10110111100101011001,20,1.62e-05
00001100,8.1e-07,10110111100101011010,20,1.62e-05
00001010,8.1e-07,10110111100101011011,20,1.62e-05
00001001,8.1e-07,10110111100101011100,20,1.62e-05
00000110,8.1e-07,10110111100101011101,20,1.62e-05
00000101,8.1e-07,10110111100101011110,20,1.62e-05
00000011,8.1e-07,10110111100101011111,20,1.62e-05
10000000,9e-08,10110111100101000110000,23,2.07e-06
01000000,9e-08,10110111100101000110001,23,2.07e-06
00100000,9e-08,10110111100101000110010,23,2.07e-06
00010000,9e-08,10110111100101000110011,23,2.07e-06
00001000,9e-08,10110111100101000110100,23,2.07e-06
00000100,9e-08,10110111100101000110101,23,2.07e-06
00000010,9e-08,10110111100101000110110,23,2.07e-06
00000001,9e-08,101101111001010001101110,24,2.16e-06
00000000,1e-08,101101111001010001101111,24,2.4000000000000003e-07
P(x) = ,1.0,,\sum p(xi)*Nэi = ,3.8063948099999867
